(month 1-9/2007; 1-5/2008)
<OPEN>,<HIGH>,<LOW>,<CLOSE_PREVIOUSDAY>,<VOL>,<GOLD>,<CLOSE>
922.6600,923.8300,921.1900,920.4800,6402870,711.3800,921.1900
920.5500,921.3100,920.5500,921.1900,5193380,708.1000,921.3100
924.1400,930.4600,924.1400,921.3100,5215070,707.0500,930.4600
932.3800,934.7400,932.3800,930.4600,5739960,717.5500,934.7400
933.7800,935.1700,933.7800,934.7400,6462280,723.3500,935.1700
942.5200,946.2200,942.5200,935.1700,6537750,721.1500,946.2200
960.5600,963.6100,960.5600,946.2200,9768100,733.5500,963.6100
965.2000,965.2000,958.6700,963.6100,10839960,731.0500,958.6700
967.8900,975.8200,967.8900,958.6700,9874070,730.1300,975.8200
1005.7900,1009.8800,1005.7900,975.8200,12628490,731.4500,1009.8800
1029.7300,1029.7300,1015.3900,1009.8800,14318520,728.8200,1015.9100
1012.4100,1014.0900,1012.1700,1015.9100,11238280,734.2800,1014.0900
1030.7700,1046.8600,1030.7700,1014.0900,14360990,743.2000,1046.8600
925.6600,926.0100,921.0700,927.0200,5006582,857.3500,921.0700
913.5600,915.4600,908.2500,921.0700,5020570,864.6500,908.2500
904.8300,905.3800,903.0900,908.2500,4409690,859.4000,903.0900
899.5300,899.5300,884.0300,903.0900,6395360,857.8000,887.0800
892.6800,899.2200,892.6800,887.0800,6337420,877.7400,893.7400
888.6900,889.1200,878.4100,893.7400,6596117,878.7900,878.4100
858.0700,858.5800,849.6900,878.4100,10291130,892.9500,850.0700
860.5200,867.5000,860.1300,850.0700,7233110,895.1500,860.7700
859.2900,859.2900,841.0000,860.7700,7968310,903.7800,841.0000
819.0400,820.2000,807.7200,841.0000,9739680,888.1500,808.8300
836.4300,846.0700,835.2000,808.8300,9051790,877.3500,846.0700
861.7800,861.7800,830.7400,846.0700,10272370,877.4500,833.8100
831.0800,847.0500,828.2200,833.8100,5642330,883.0000,847.0500
839.3100,839.3700,833.8800,847.0500,6915710,864.9500,833.8800
808.4600,813.0100,807.7400,833.8800,7947815,892.0500,807.7400
785.7700,787.1200,775.3000,807.7400,8849340,890.4300,776.6800
785.9200,790.5200,764.1300,776.6800,8585170,912.5500,764.1300
763.6600,778.8200,762.9900,764.1300,6557040,913.6100,776.0400
781.9200,785.0700,775.9000,776.0400,6629110,928.8000,785.0700
787.3000,811.6100,786.4200,785.0700,8980610,923.6500,811.6100
844.9500,848.8800,843.1000,811.6100,11101810,929.4000,843.1000
831.7400,844.1100,826.0300,843.1000,16546020,926.0300,844.1100
854.1500,859.6200,852.3200,844.1100,11446550,904.7500,859.6200
857.0200,857.0200,840.5000,859.6200,6162010,906.4700,841.2300
830.5400,830.7700,817.8600,841.2300,7220229,906.1800,817.8600
824.3400,832.6600,823.4600,817.8600,7236590,908.0300,823.4600
821.0000,821.0000,813.8900,823.4600,5600560,902.3000,816.0300
784.8000,786.4500,780.8000,816.0300,11884060,905.0500,782.5700
764.4200,780.9100,764.1700,782.5700,8811753,927.6000,776.7900
775.3000,775.9300,744.9200,776.7900,9484220,944.1000,744.9200
711.7800,712.2700,710.1700,744.9200,7612720,945.4300,710.4500
678.3200,687.1000,677.7900,710.4500,14500350,944.9500,687.1000
706.0000,715.2500,706.0000,687.1000,11761290,939.3300,715.0400
714.8600,714.8600,692.8800,715.0400,11181330,947.9300,692.9100
681.4500,704.6700,681.3500,692.9100,8685850,957.8800,686.4900
687.7500,688.7000,677.8000,686.4900,8464530,970.7500,678.1200
670.4900,672.1500,661.7500,678.1200,10486870,973.7500,663.3000
646.0800,646.3100,634.2200,663.3000,9443310,983.7000,635.2400
608.0500,608.8800,606.1000,635.2400,7813910,963.7800,608.8800
581.1900,583.4500,580.4000,608.8800,9270920,989.4500,583.4500
609.7700,611.2600,609.7700,583.4500,9717931,978.6500,611.1700
638.2300,638.0300,640.1400,611.1700,8169220,972.9000,640.1400
667.6300,669.2400,657.5300,640.1400,24700110,973.1500,658.2900
642.8700,643.6800,638.7100,658.2900,14038800,973.0500,638.7100
